model_type,seed,num_conv_layers,parameter_count,training_time_sec,evaluation_time_sec,test_loss,test_accuracy,f1_macro,precision_macro,recall_macro,roc_auc_ovr,roc_auc_ovo
ECGCNN_VGG,22,1,6171,14.472688436508179,0.41521692276000977,0.6111506426421395,0.7706468116206834,0.5719519941801082,0.5365662509106277,0.8152490897969203,0.9520012253675917,0.9665096037009528
ECGCNN_VGG,32,1,6171,14.383821964263916,0.37679147720336914,0.7074908579352999,0.7224100127900603,0.5245230224247275,0.47958655640836556,0.8075903955797011,0.9425602862148397,0.9606393557853806
ECGCNN_VGG,42,1,6171,14.383200645446777,0.4419424533843994,0.5595306681020417,0.8076009501187649,0.5902895671517289,0.528567838941427,0.827841236082006,0.9539097120222806,0.9688222273221261
ECGCNN_VGG,52,1,6171,13.883046865463257,0.41416025161743164,0.7824526411773515,0.6487758085145259,0.47450183883937,0.44359347787059783,0.787414315493376,0.9383714327313692,0.9571307137146601
ECGCNN_VGG,62,1,6171,13.848520278930664,0.38232874870300293,0.5578346489989845,0.7965466837200804,0.5781986671242828,0.5130264055221891,0.8383399470521745,0.9572905554669227,0.9708795056105819
ECGCNN_VGG,22,2,6187,20.469351768493652,0.45009708404541016,0.7050768606419111,0.7740270418417687,0.5706333574304316,0.5340484060619216,0.8081657103423907,0.9403126681566711,0.9620760052121966
ECGCNN_VGG,32,2,6187,20.506547689437866,0.47035694122314453,0.5644363123134976,0.789923259638224,0.5762550108755268,0.5166736972045285,0.8394183294502483,0.9559682546138225,0.9698261446363073
ECGCNN_VGG,42,2,6187,20.45907974243164,0.49329161643981934,0.5027790166383242,0.8347798282477618,0.6159171221313495,0.5505222816234054,0.8524716081747943,0.9621486961168051,0.9747308630176053
ECGCNN_VGG,52,2,6187,20.58322763442993,0.4902822971343994,0.353963211113519,0.8821487301297277,0.6889305459788122,0.6255984565159185,0.8701601890234174,0.9720549395831745,0.9798080316358508
ECGCNN_VGG,62,2,6187,20.494876623153687,0.4963645935058594,0.4428693703491322,0.8420427553444181,0.6299942141924674,0.5731634062535217,0.8695837960726935,0.9694008979113967,0.9793916153423593
ECGCNN_VGG,22,3,6491,26.656329870224,0.5590341091156006,0.37910020244817666,0.8698611364882148,0.6607852141219898,0.6033622418451704,0.8740181757234382,0.9722760816767139,0.9796590375780984
ECGCNN_VGG,32,3,6491,27.37618398666382,0.5647463798522949,0.3799336431561595,0.8707290334368719,0.6609272499370129,0.6011469572224654,0.8744672637371197,0.9716405386755526,0.9792709925314289
ECGCNN_VGG,42,3,6491,26.997826099395752,0.5666725635528564,0.3136205033881821,0.9089164991777818,0.7091404573442313,0.6581638878749125,0.8764200664345531,0.9744942182386097,0.9822932867849783
ECGCNN_VGG,52,3,6491,27.43165946006775,0.532315731048584,0.42701087365620327,0.8210761922163348,0.6335095114944438,0.6002497128873137,0.868094642846371,0.9742786166506047,0.9806028346218552
ECGCNN_VGG,62,3,6491,27.51428723335266,0.5788648128509521,0.32881730645895,0.8843413118947561,0.6783315260314576,0.6186544435167353,0.8749239459142611,0.9728546876050264,0.9800273188057986
ECGCNN_VGG,22,4,7419,34.01870846748352,0.6560318470001221,0.41596516000963474,0.8523661611547597,0.6485431258657439,0.6028901492036954,0.872602662906373,0.9714915204608111,0.9808972320944112
ECGCNN_VGG,32,4,7419,34.39111256599426,0.6560132503509521,0.3604817355636263,0.8875388269687557,0.6760008198552112,0.6153510247612395,0.8682633464488726,0.9712251930276091,0.9787864851533351
